iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
85,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
86,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
87,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
88,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
89,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
90,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
91,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
92,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
93,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
94,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
95,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
96,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
97,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
98,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
99,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
100,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
101,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
102,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
103,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
104,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
105,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
106,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
107,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
108,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
109,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
110,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
111,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
112,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
113,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
114,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
115,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
116,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
117,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
118,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
119,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
120,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
121,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
122,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
123,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
124,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
125,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
126,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
127,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
128,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
129,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
130,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
131,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
132,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
133,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
134,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
135,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
136,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
137,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
138,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
139,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
140,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
141,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
142,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
143,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
144,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
145,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
146,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
147,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
148,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
149,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
150,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
151,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
152,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
153,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
154,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
155,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
156,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
157,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
158,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
159,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
160,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
161,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
162,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
163,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
164,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
165,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
166,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
167,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
168,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
169,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
