iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
371,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
372,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
373,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
374,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
375,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
376,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
377,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
378,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
379,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
380,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
381,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
382,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
383,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
384,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
385,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
386,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
387,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
388,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
389,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
390,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
391,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
392,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
393,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
394,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
395,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
396,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
397,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
398,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
399,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
400,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
401,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
402,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
403,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
404,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
405,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
406,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
407,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
408,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
409,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
410,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
411,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
412,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
413,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
414,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
415,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
416,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
417,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
418,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
419,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
420,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
421,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
422,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
423,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
424,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
425,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
426,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
427,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
428,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
429,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
430,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
431,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
432,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
433,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
434,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
435,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
436,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
437,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
438,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
439,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
440,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
441,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
442,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
443,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
444,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
445,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
446,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
447,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
448,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
449,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
450,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
451,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
452,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
453,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
454,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
455,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
456,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
457,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
458,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
459,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
460,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
461,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
462,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
463,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
464,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
465,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
466,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
467,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
468,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
469,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
470,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
471,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
472,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
473,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
474,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
475,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
476,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
477,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
478,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
479,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
480,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
481,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
482,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
483,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
484,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
485,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
486,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
487,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
488,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
489,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
490,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
491,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
492,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
493,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
494,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
495,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
496,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
497,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
498,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
499,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
