iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
39,READ COMMITTED,8,8,0,1,entity_id=34000039 attribute='s4_slot' has 2 live rows; expected <= 1,fact=8 audit=7 accepted=8
40,READ COMMITTED,8,8,0,1,entity_id=34000040 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=6 accepted=8
41,READ COMMITTED,8,8,0,1,entity_id=34000041 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
42,READ COMMITTED,8,8,0,1,entity_id=34000042 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=6 accepted=8
43,READ COMMITTED,8,8,0,1,entity_id=34000043 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
44,READ COMMITTED,8,8,0,1,entity_id=34000044 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=6 accepted=8
45,READ COMMITTED,8,8,0,1,entity_id=34000045 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
46,READ COMMITTED,8,8,0,1,entity_id=34000046 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=13 accepted=8
47,READ COMMITTED,8,8,0,1,entity_id=34000047 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=6 accepted=8
48,READ COMMITTED,8,8,0,1,entity_id=34000048 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
49,READ COMMITTED,8,8,0,1,entity_id=34000049 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=4 accepted=8
50,READ COMMITTED,8,8,0,1,entity_id=34000050 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
51,READ COMMITTED,8,8,0,1,entity_id=34000051 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=7 accepted=8
52,READ COMMITTED,8,8,0,1,entity_id=34000052 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
53,READ COMMITTED,8,8,0,1,entity_id=34000053 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=4 accepted=8
54,READ COMMITTED,8,8,0,1,entity_id=34000054 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
55,READ COMMITTED,8,8,0,1,entity_id=34000055 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
56,READ COMMITTED,8,8,0,1,entity_id=34000056 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
57,READ COMMITTED,8,8,0,1,entity_id=34000057 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=8 accepted=8
58,READ COMMITTED,8,8,0,1,entity_id=34000058 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=4 accepted=8
59,READ COMMITTED,8,8,0,1,entity_id=34000059 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
60,READ COMMITTED,8,8,0,1,entity_id=34000060 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=14 accepted=8
61,READ COMMITTED,8,8,0,1,entity_id=34000061 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=3 accepted=8
62,READ COMMITTED,8,8,0,1,entity_id=34000062 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
63,READ COMMITTED,8,8,0,1,entity_id=34000063 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
64,READ COMMITTED,8,8,0,1,entity_id=34000064 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=9 accepted=8
65,READ COMMITTED,8,8,0,1,entity_id=34000065 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
66,READ COMMITTED,8,8,0,1,entity_id=34000066 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
67,READ COMMITTED,8,8,0,1,entity_id=34000067 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=7 accepted=8
68,READ COMMITTED,8,8,0,1,entity_id=34000068 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=11 accepted=8
