cell_id,client_count,contention,isolation,retry_mode,writes_attempted,writes_committed,writes_dropped,serialization_failures,deadlock_failures,retries_total,retries_p50,retries_p95,retries_p99,latency_p50_us,latency_p95_us,latency_p99_us,wall_clock_s,throughput_rps,invariant_violations_count,invariant_violations
n16_c100_READCOMMITTED_raw,16,1.0,READ COMMITTED,raw,16000,16000,0,0,0,0,0.0,0.0,0.0,5747.437477111816,14183.0881126225,18255.212595686316,6.948791027069092,2302.5588102551687,0,[]
n16_c100_READCOMMITTED_app,16,1.0,READ COMMITTED,app,16000,16000,0,0,0,0,0.0,0.0,0.0,4891.374846920371,16225.960431620479,23558.031721040606,6.815299987792969,2347.6589480518755,0,[]
n16_c100_SERIALIZABLE_raw,16,1.0,SERIALIZABLE,raw,16000,2180,13820,13820,0,0,0.0,0.0,0.0,2048.5834684222937,3477.8565168380737,4199.476013891399,3.6718525886535645,593.7057513519045,0,[]
n16_c100_SERIALIZABLE_app,16,1.0,SERIALIZABLE,app,16000,15840,160,160,0,577,0.0,0.0,0.0,1429.1254337877035,2501.854090951383,2928.8972448557615,24.73518991470337,640.3831971625254,0,[]
n32_c1_READCOMMITTED_raw,32,0.01,READ COMMITTED,raw,32000,32000,0,0,0,0,0.0,0.0,0.0,4086.3959584385157,7537.426869384944,9618.346258066595,6.576493978500366,4865.814536531658,0,[]
n32_c1_READCOMMITTED_app,32,0.01,READ COMMITTED,app,32000,32000,0,0,0,0,0.0,0.0,0.0,4087.2085373848677,7508.398173376918,10036.725355312228,6.701608896255493,4774.9727707744805,0,[]
n32_c1_SERIALIZABLE_raw,32,0.01,SERIALIZABLE,raw,32000,5829,26171,26171,0,0,0.0,0.0,0.0,4183.749668300152,8068.299666047096,10454.211588948965,7.994001150131226,729.1717740000968,0,[]
n32_c1_SERIALIZABLE_app,32,0.01,SERIALIZABLE,app,32000,31985,15,15,0,1465,0.0,0.0,1.0,2260.7501596212387,5025.607999414206,6520.163267850876,7.595931053161621,4210.807046054878,0,[]
n32_c100_READCOMMITTED_raw,32,1.0,READ COMMITTED,raw,32000,32000,0,0,0,0,0.0,0.0,0.0,21554.166451096535,63260.80618891865,87488.1974607706,27.460752248764038,1165.2994684965436,1,"[{""label"": ""no_two_live_for_slot"", ""detail"": ""entity_id=99999999 attribute='concur_hotspot_slot' has 2 live rows; expected <= 1""}]"
n32_c100_READCOMMITTED_app,32,1.0,READ COMMITTED,app,32000,32000,0,0,0,0,0.0,0.0,0.0,21345.186978578568,63002.12945789099,83057.32823442668,27.32344913482666,1171.1552169748795,0,[]
n32_c100_SERIALIZABLE_raw,32,1.0,SERIALIZABLE,raw,32000,2737,29263,29263,0,0,0.0,0.0,0.0,4226.291086524725,7838.407997041941,10033.828280866146,8.032371044158936,340.7462111689077,0,[]
n32_c100_SERIALIZABLE_app,32,1.0,SERIALIZABLE,app,32000,30610,1390,1390,0,4082,0.0,0.0,6.0,2432.791516184807,4797.404655255377,5384.400933980942,81.3387930393219,376.32719710018443,0,[]
