system,kind_mix,theta,clients,runs,tps_median,tps_std,abort_rate_median,correctness_median,goodput_median,p50_ms_median,p99_ms_median,p99_9_ms_median,contested_median,missing_live_median,multi_live_median
pg_heap,easy,0.5,32,1,5384.95,0.00,0.0000,0.0000,0.00,5.728,11.988,17.014,41590,0,41590
pg_heap,easy,0.5,8,1,7161.15,0.00,0.0000,0.0000,0.00,0.524,3.874,4.961,50046,0,50046
pg_heap,easy,0.9,32,1,4729.45,0.00,0.0000,0.0000,0.00,5.878,19.820,31.130,21566,0,21566
pg_heap,easy,0.9,8,1,7176.25,0.00,0.0000,0.0000,0.00,0.535,3.799,4.328,28673,0,28673
pg_heap,moderate,0.5,32,1,5258.95,0.00,0.0000,0.0000,0.00,5.694,15.111,19.512,40743,0,40743
pg_heap,moderate,0.5,8,1,7394.60,0.00,0.0000,0.0000,0.00,0.524,4.054,10.991,51189,0,51189
pg_heap,moderate,0.9,32,1,5378.95,0.00,0.0000,0.0000,0.00,5.737,12.007,16.122,23429,0,23429
pg_heap,moderate,0.9,8,1,7035.45,0.00,0.0000,0.0000,0.00,0.528,3.911,4.549,28076,0,28076
pg_llm,adversarial,0.5,8,1,65.75,0.00,0.1630,0.6760,37.21,3.691,463.865,816.605,889,0,0
pg_llm,adversarial,0.9,8,1,64.15,0.00,0.1712,0.6498,34.55,3.918,456.949,683.801,671,0,7
pg_llm,easy,0.5,8,1,63.25,0.00,0.1732,0.6570,34.36,4.541,466.386,687.323,895,0,0
pg_llm,easy,0.9,8,1,64.20,0.00,0.1848,0.6567,34.37,4.270,461.675,680.591,702,0,6
pg_llm,moderate,0.5,8,1,61.95,0.00,0.1981,0.6207,30.83,3.821,473.511,682.693,891,0,0
pg_llm,moderate,0.9,8,1,62.60,0.00,0.1907,0.6212,31.47,3.621,462.985,749.722,689,0,6
pg_lww,adversarial,0.5,32,1,3732.05,0.00,0.0000,0.8652,3228.85,6.795,39.854,73.684,32144,0,14
pg_lww,adversarial,0.5,8,1,1822.80,0.00,0.0000,0.9202,1677.32,4.163,11.327,12.845,17830,0,0
pg_lww,adversarial,0.9,32,1,4058.10,0.00,0.0000,0.8304,3369.99,6.600,29.856,49.647,19562,0,71
pg_lww,adversarial,0.9,8,1,2180.80,0.00,0.0000,0.8623,1880.46,3.102,11.376,13.071,11872,0,16
pg_lww,easy,0.5,32,1,3752.05,0.00,0.0000,0.8626,3236.42,6.468,46.517,86.166,32439,0,10
pg_lww,easy,0.5,8,1,3244.10,0.00,0.0000,0.8731,2832.29,2.368,5.436,6.085,29746,0,11
pg_lww,easy,0.9,32,1,3843.50,0.00,0.0000,0.8323,3198.81,6.469,40.813,76.803,18875,0,67
pg_lww,easy,0.9,8,1,2112.10,0.00,0.0000,0.8571,1810.22,2.960,11.995,14.245,11600,0,18
pg_lww,moderate,0.5,32,1,3741.50,0.00,0.0000,0.8666,3242.42,6.670,43.237,84.197,32109,0,11
